ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
xokleng-273_look-1,,xokleng,273_look,l ẽ l,l ẽ l,,,,1042,,,
kaingang-424_suck-1,,kaingang,424_suck,p a ɸ a,p a ɸ a,,,,1710,,,
xokleng-424_suck-1,,xokleng,424_suck,p ɛ ð ɔ,p ɛ ð ɔ,,,,1710,,,
kaingang-1152_weave-1,,kaingang,1152_weave,ɸ ɨ,ɸ ɨ,,,,1934,,,
xokleng-1152_weave-1,,xokleng,1152_weave,ð ɨ,ð ɨ,,,,1934,,,
kaingang-379_seed-1,,kaingang,379_seed,ɸ ɨ,ɸ ɨ,,,,1494,,,
xokleng-379_seed-1,,xokleng,379_seed,ð ɨ,ð ɨ,,,,1494,,,
kaingang-468_vagina-1,,kaingang,468_vagina,ɸ u,ɸ u,,,,1889,,,
xokleng-468_vagina-1,,xokleng,468_vagina,ð u,ð u,,,,1889,,,
kaingang-63_boy-1,,kaingang,63_boy,j a ŋ ɸ ɛ,j a ŋ ɸ ɛ,,,,231,,,
kaingang-594_sling-1,,kaingang,594_sling,ɸ ĩ,ɸ ĩ,,,,1574,,,
xokleng-594_sling-1,,xokleng,594_sling,ð ẽ,ð ẽ,,,,1574,,,
kaingang-229_hunt-1,,kaingang,229_hunt,x ẽ,x ẽ,,,,880,,,
kaingang-229_hunt-2,,kaingang,229_hunt,x ẽ,x ẽ,,,,880,,,
kaingang-1386_chew-1,,kaingang,1386_chew,k a j ẽ,k a j ẽ,,,,336,,,
xokleng-1386_chew-1,,xokleng,1386_chew,k a ŋ j ã,k a ŋ j ã,,,,336,,,
ingain-872_earring-1,,ingain,872_earring,n ẽ ŋ/g ɾ a ŋ + ĵ a,n ẽ ŋ/g ɾ a ŋ + ĵ a,,,,555,,,
kaingang-952_hang-1,,kaingang,952_hang,x a,x a,,,,803,,,
xokleng-952_hang-1,,xokleng,952_hang,c ɔ,c ɔ,,,,803,,,
kaingang-477_wasp-1,,kaingang,477_wasp,x ɨ,x ɨ,,,,1923,,,
xokleng-477_wasp-1,,xokleng,477_wasp,c ɨ,c ɨ,,,,1923,,,
kaingang-932_hut-1,,kaingang,932_hut,x ɨ,x ɨ,,,,890,,,
xokleng-932_hut-1,,xokleng,932_hut,c ɨ,c ɨ,,,,890,,,
kaingang-732_heatup-1,,kaingang,732_heatup,x u + n,x u + n,,,,830,,,
kaingang-732_heatup-2,,kaingang,732_heatup,j õ ŋ + x u,j õ ŋ + x u,,,,834,,,
xokleng-732_heatup-1,,xokleng,732_heatup,c u + l,c u + l,,,,833,,,
xokleng-732_heatup-2,,xokleng,732_heatup,j a ŋ + c u,j a ŋ + c u,,,,834,,,
kaingang-1172_saburabrewedhoney-1,,kaingang,1172_saburabrewedhoney,x ɔ ŋ,x ɔ ŋ,,,,1456,,,
kaingang-1263_pinch-1,,kaingang,1263_pinch,k u x ɛ,k u x ɛ,,,,1294,,,
xokleng-1263_pinch-1,,xokleng,1263_pinch,k u c ɛ,k u c ɛ,,,,1294,,,
kaingang-293_mother-2,,kaingang,293_mother,x i,x i,,,,1118,,,
xokleng-293_mother-2,,xokleng,293_mother,c i,c i,,,,1118,,,
kaingang-417_stand-1,,kaingang,417_stand,j ẽ,j ẽ,,,,1660,,,
kaingang-417_stand-2,,kaingang,417_stand,j ẽ ŋ,j ẽ ŋ,,,,1660,,,
xokleng-417_stand-1,,xokleng,417_stand,j ã,j ã,,,,1660,,,
xokleng-417_stand-2,,xokleng,417_stand,j ã ŋ,j ã ŋ,,,,1660,,,
kaingang-787_putup-1,,kaingang,787_putup,ɸ + ẽ ŋ,ɸ + ẽ ŋ,,,,1369,,,
xokleng-787_putup-1,,xokleng,787_putup,j ã ŋ,j ã ŋ,,,,1370,,,
kaingang-913_eatintransitive-1,,kaingang,913_eatintransitive,j ẽ,j ẽ,,,,563,,,
kaingang-913_eatintransitive-2,,kaingang,913_eatintransitive,j ẽ n,j ẽ n,,,,563,,,
xokleng-913_eatintransitive-1,,xokleng,913_eatintransitive,j ã n,j ã n,,,,563,,,
kaingang-307_nose-1,,kaingang,307_nose,n ĩ j ẽ,n ĩ j ẽ,,,,1185,,,
xokleng-307_nose-1,,xokleng,307_nose,n ẽ j ã,n ẽ j ã,,,,1185,,,
kaingang-1359_urine-1,,kaingang,1359_urine,j ə + ɲ,j ə + ɲ,,,,1885,,,
xokleng-1359_urine-1,,xokleng,1359_urine,j ə + ɲ,j ə + ɲ,,,,1885,,,
kaingang-665_rip-1,,kaingang,665_rip,j õ + n,j õ + n,,,,1418,,,
xokleng-665_rip-1,,xokleng,665_rip,ð ã + j ɔ,ð ã + j ɔ,,,,1419,,,
kaingang-54_bitter-1,,kaingang,54_bitter,ɸ a,ɸ a,,,,206,,,
xokleng-54_bitter-1,,xokleng,54_bitter,ð ɔ,ð ɔ,,,,206,,,
ingain-401_smoke-2,,ingain,401_smoke,p ẽ + n ẽ j ə,p ẽ + n ẽ j ə,,,,1588,,,
kaingang-401_smoke-1,,kaingang,401_smoke,n ĩ j a,n ĩ j a,,,,1588,,,
xokleng-401_smoke-1,,xokleng,401_smoke,n ẽ j ɔ,n ẽ j ɔ,,,,1588,,,
ingain-592_besitting-1,,ingain,592_besitting,n ẽ,n ẽ,,,,152,,,
kaingang-592_besitting-1,,kaingang,592_besitting,n ĩ,n ĩ,,,,152,,,
xokleng-592_besitting-1,,xokleng,592_besitting,n ẽ,n ẽ,,,,152,,,
ingain-455_tooth-1,,ingain,455_tooth,j a u,j a u,,,,1826,,,
kaingang-455_tooth-1,,kaingang,455_tooth,j õ,j õ,,,,1826,,,
xokleng-455_tooth-1,,xokleng,455_tooth,j a,j a,,,,1826,,,
kaingang-370_salt-1,,kaingang,370_salt,k a j õ,k a j õ,,,,1461,,,
ingain-889_hide-1,,ingain,889_hide,p ɛ j u,p ɛ j u,,,,846,,,
kaingang-889_hide-1,,kaingang,889_hide,p ɛ j u,p ɛ j u,,,,846,,,
xokleng-889_hide-1,,xokleng,889_hide,p ɛ j u,p ɛ j u,,,,846,,,
kaingang-915_arrive-1,,kaingang,915_arrive,j u ɾ,j u ɾ,,,,81,,,
xokleng-915_arrive-1,,xokleng,915_arrive,j u l,j u l,,,,81,,,
kaingang-1317_before-1,,kaingang,1317_before,j ɔ,j ɔ,,,,172,,,
kaingang-1206_ifnot-1,,kaingang,1206_ifnot,j ɔ,j ɔ,,,,891,,,
kaingang-1100_otherwise-1,,kaingang,1100_otherwise,j ɔ,j ɔ,,,,1206,,,
kaingang-1304_pus-1,,kaingang,1304_pus,ɸ ɔ,ɸ ɔ,,,,1361,,,
xokleng-1304_pus-1,,xokleng,1304_pus,ð ɔ,ð ɔ,,,,1361,,,
ingain-155_father-1,,ingain,155_father,j ɔ ŋ,j ɔ ŋ,,,,629,,,
kaingang-155_father-1,,kaingang,155_father,j ɔ ŋ,j ɔ ŋ,,,,629,,,
xokleng-155_father-1,,xokleng,155_father,j u ŋ,j u ŋ,,,,629,,,
ingain-1034_fishingline-1,,ingain,1034_fishingline,l ɛ,l ɛ,,,,671,,,
kaingang-1310_thread-1,,kaingang,1310_thread,ɸ ɛ + n,ɸ ɛ + n,,,,1785,,,
xokleng-1310_thread-1,,xokleng,1310_thread,ð ɛ + n,ð ɛ + n,,,,1785,,,
ingain-66_breast-1,,ingain,66_breast,n ũ ŋ j ɛ,n ũ ŋ j ɛ,,,,248,,,
kaingang-66_breast-1,,kaingang,66_breast,n ũ ŋ j ɛ,n ũ ŋ j ɛ,,,,248,,,
xokleng-66_breast-1,,xokleng,66_breast,n ũ ŋ n ĵ ɛ,n ũ ŋ n ĵ ɛ,,,,249,,,
ingain-1546_vein-1,,ingain,1546_vein,k u j ɛ,k u j ɛ,,,,1890,,,
kaingang-1546_vein-1,,kaingang,1546_vein,k u j ɛ j,k u j ɛ j,,,,1890,,,
xokleng-1546_vein-1,,xokleng,1546_vein,k u j ɛ j,k u j ɛ j,,,,1890,,,
kaingang-1078_putdown-1,,kaingang,1078_putdown,ɸ + i,ɸ + i,,,,1367,,,
xokleng-1078_putdown-1,,xokleng,1078_putdown,j i,j i,,,,1368,,,
kaingang-298_name-1,,kaingang,298_name,j i j i,j i j i,,,,1151,,,
kaingang-298_name-2,,kaingang,298_name,j ɨ j i,j ɨ j i,,,,1151,,,
kaingang-298_name-3,,kaingang,298_name,j ɨ j ɨ,j ɨ j ɨ,,,,1151,,,
