id,doculect,concept,forms,lexstatid
262,Ingain,FATHER,j ɔ ŋ,542
263,Kaingang,FATHER,j ɔ ŋ,542
264,Xokleng,FATHER,j u ŋ,542
265,Ingain,FISHING LINE,l e,578
266,Kaingang,THREAD,ɸ ɛ + n,1551
267,Xokleng,THREAD,ð ɛ + n,1551
268,Ingain,BREAST,n ũ ŋ j e,222
269,Kaingang,BREAST,n ũ ŋ j e,222
270,Xokleng,BREAST,n ũ ŋ n ĵ e,223
271,Ingain,VEIN,k u j e,1643
272,Kaingang,VEIN,k u j e j,1643
273,Xokleng,VEIN,k u j e j,1643
274,Kaingang,PUT DOWN,ɸ + i,1191
275,Xokleng,PUT DOWN,j i,1192
276,Kaingang,NAME,j i j i,996
277,Kaingang,NAME,j ɨ j i,996
278,Kaingang,NAME,j ɨ j ɨ,996
279,Xokleng,NAME,j ɨ j ɨ,996
280,Xokleng,NAME,3 + ð + ɨ j ɨ,998
281,Ingain,MEAT,n ẽ,941
282,Kaingang,MEAT,n ĩ,941
283,Xokleng,MEAT,n ẽ,941
284,Ingain,HAND,n ẽ + ŋ/g a u,695
285,Kaingang,WASH HANDS,n ĩ + p e,1672
286,Kaingang,POINT,n ĩ + j u,1150
287,Kaingang,HAND,n ĩ + ŋ/g ɛ,695
288,Xokleng,INDICATOR,n ẽ + j u + j ɔ,781
289,Xokleng,HAND,n ẽ + ŋ/g a,695
290,Kaingang,BASKET,k ẽ j,129
291,Xokleng,BASKET,k ã j,129
292,Ingain,FLY (A TYPE OF),k ɜ,595
293,Kaingang,FLY (A TYPE OF),k a,595
294,Xokleng,BLACK FLY,c ẽ + t ɔ + k ɔ,190
295,Ingain,WOOD,k ɜ,1728
296,Kaingang,TREE,k a,1608
297,Xokleng,TREE,k ɔ,1608
298,Ingain,HORN,n ĩ k ɜ,750
299,Kaingang,HORN,n ĩ k a,750
300,Kaingang,HORN,k u k a,751
301,Xokleng,HORN,n ĩ k ɔ,750
302,Xokleng,HORN,k u k ɔ,751
303,Ingain,BONE,k u k ɜ,206
304,Ingain,FOREHEAD,k u k ɜ,606
305,Ingain,WIND,k a k ɜ,1714
306,Kaingang,WIND,k õ k a,1714
307,Kaingang,CAATINGA,k ɨ,254
308,Kaingang,TURTLE (TYPE OF),k ɨ,1620
309,Kaingang,SWEET (TYPE OF),k ɨ,1503
310,Xokleng,CAATINGA,k ɨ,254
311,Xokleng,TURTLE (TYPE OF),k ɨ,1620
312,Xokleng,SWEET (TYPE OF),k ɨ,1503
313,Ingain,LIP,j ɛ t + k ɜ,872
314,Kaingang,LIP,j ẽ n/k ɨ,873
315,Xokleng,LIP,j ã n/k ɨ,873
316,Ingain,MOUTH,j ɛ t + k a u,977
317,Kaingang,MOUTH,j õ n/k õ,978
318,Xokleng,MOUTH,ð + ã n/k a,981
319,Kaingang,SKY,k a ɲ/k õ,1364
320,Xokleng,SKY,k ɔ ɲ/k a,1364
321,Xokleng,DIG,k a,432
322,Ingain,EAT,k u,483
323,Kaingang,EAT,k o,483
324,Xokleng,EAT,k o,483
325,Kaingang,CLOUD,ŋ/g ɔ ŋ,323
326,Xokleng,CLOUD,ŋ/g u ŋ,323
327,Ingain,STONE,k ẽ r,1471
328,Kaingang,SPLIT,k ɛ ɲ,1437
329,Kaingang,CANOE,k õ k ɛ ɲ,259
330,Xokleng,CANOE,k a k ɛ ɲ,259
331,Ingain,PITY,k ɜ k i,1134
332,Ingain,HAIR,k ɜ k i,689
333,Ingain,EYEBROW,k ɜ n/d a + k i,527
334,Kaingang,HAIR,k ɨ k i,689
335,Kaingang,PITY,k ɨ k i,1134
336,Xokleng,HAIR,k ɜ k i,689
337,Ingain,CHILD,k r a,301
338,Kaingang,CHILD,k r ẽ,301
339,Xokleng,CHILD,k l ã,301
340,Ingain,HEAD,k r ẽ,709
341,Kaingang,HEAD,k r ĩ,709
342,Xokleng,HEAD,k l ẽ,709
343,Ingain,KNEE,j ɜ k r ẽ,834
344,Kaingang,KNEE,j a k r ĩ,834
345,Xokleng,KNEE,j ɔ k l ẽ,834
346,Ingain,BEAK,n ĩ t k r a r,145
347,Kaingang,HOLE,k r ɛ,743
348,Xokleng,HOLE,k l ɛ,743
349,Kaingang,PLANT,k r ɛ,1142
350,Kaingang,PLANTATION,ẽ + k r ɛ,1143
351,Kaingang,PLANTATION,j a + k r ɛ,1143
352,Xokleng,PLANT,k l a + n,1142
353,Ingain,THIGH,k r e,1541
354,Kaingang,THIGH,k r e,1541
355,Xokleng,THIGH,k l e,1541
356,Kaingang,PUNCH,ŋ ɜ̃,1181
357,Kaingang,THRESH,ŋ ɜ̃,1554
358,Ingain,LOUSE,ŋ/g ɜ,908
359,Ingain,DRILL,ĵ u + ŋ/g ɜ,459
360,Kaingang,LOUSE,ŋ/g a,908
361,Xokleng,LOUSE,ŋ/g ɔ,908
362,Kaingang,EARTH,ŋ/g a,481
363,Xokleng,EARTH,ŋ/g ɔ,481
364,Kaingang,WATER,ŋ/g o j,1676
365,Xokleng,WATER,ŋ/g o j,1676
366,Kaingang,PRESS,ŋ ũ,1169
367,Kaingang,RUB,ŋ ũ,1269
368,Kaingang,MILL,ŋ ũ,953
369,Ingain,FUR,ŋ/g a u ɲ,620
370,Kaingang,HAIR,ŋ õ ɲ,691
371,Xokleng,MANE,ŋ/g a ɲ,927
372,Kaingang,INSERT,ŋ/g e,787
373,Xokleng,INSERT,ŋ/g e,787
374,Ingain,TOUCAN,ŋ/g r a u,1596
375,Kaingang,TOUCAN,ŋ r ũ,1597
376,Xokleng,TOUCAN,ŋ l ũ,1597
377,Ingain,GENITAL,n/g r ɛ,628
378,Ingain,EGG,n/g r ɛ,494
379,Kaingang,PENIS,ŋ/g r ɛ,1106
380,Xokleng,GENITAL,ŋ/g l ɛ,628
381,Kaingang,DANCE,ŋ/g r ɛ + n,401
382,Kaingang,DANCE,ŋ/g r ɛ + n,401
383,Xokleng,DANCE,ŋ/g l ɛ,401
384,Xokleng,DANCE,ŋ/g l ɛ,401
385,Kaingang,SMALL,ŋ/g r e,1380
386,Xokleng,SMALL,ŋ/g l e,1380
387,Kaingang,PACK UP,ŋ r ĩ,1061
388,Kaingang,AVOID,ŋ r ĩ n,90
389,Xokleng,PACK UP,ŋ l ẽ,1061
390,Xokleng,AVOID,ŋ l ẽ,90
391,Ingain,SLEEP,n ũ r,1365
392,Kaingang,SLEEP,n ũ r,1365
393,Xokleng,SLEEP,n ũ l,1365
394,Panará,KILL.PL,p a r ĭ,828
395,Panará,FOOT,p aː,603
396,Panará,JIRAU,p a j,812
397,Panará,ARM,p a,63
398,Panará,CANE,p o,258
399,Panará,LIGHT,p ô,861
400,Panará,PIERCE.PL,s-apô~pô,1123
401,Panará,LIGHT,p uː,862
402,Xavánte,ARM,p a n n õ,63
403,Xavánte,ARM,p a j h i,63
404,Xavánte,CANE,b u,258
405,Xavánte,WRAP,ʔ u b u,1735
406,Xavánte,ARROW,p o ʔ o,79
407,Xavánte,ARROW,p o,79
408,Xavánte,REMEMBER,p o ʔ r ê p u r u,1225
409,Xavánte,PIERCE,p o ʔ r ê p u ʔ u,1122
410,Xavánte,PIERCE,ĵ a p u ʔ u,1122
411,Xavánte,PIERCE,ĵ a p u,1122
412,Xavánte,FIREWOOD,m ĩ m ĩ,572
413,Xavánte,FIREWOOD,m ĩ,572
414,Xavánte,KILL.PL,p ɜ̃ r ĩ,828
415,Xavánte,KILL.PL,p ɜ,828
416,Xavánte,FOOT,p a r a,603
417,Xavánte,FOOT,p aː r a,603
418,Xavánte,FART,p i,535
419,Xavánte,FART,p i r i,535
420,Xavánte,ROOT,w ê d ê p a,1256
421,Xavánte,GARDEN,b u r u,623
422,Xavánte,GARDEN,b uː r u,623
423,Xavánte,LEAVE.PL,p u c i,851
424,Xavánte,STALK,w aː b u,1444
425,Xavánte,FINISH,p a,564
426,Xavánte,FINISH,p a r i,564
427,Xavánte,TOUCH,ʔ u p i,1599
428,Xavánte,WORK,a p p i,1731
429,Xavánte,WORK,ñ ĩ p p i,1731
430,Xavánte,ANNATTO,b ɜ j,52
431,Xavánte,ANNATTO,b ɜ,52
432,Xerénte,FLAT,p o,581
433,Xerénte,BEIJU WITH MEAT,w ɜ r k b u,162
434,Xerénte,ARM,p a j n õ,63
435,Xerénte,ROOT,p a k r t a,1257
436,Xerénte,ROOT,p a k r d a,1257
437,Xerénte,PIERCE,p u r u,1122
438,Xerénte,PIERCE,p u k u,1122
439,Xerénte,PREACH,z a p u k,1166
440,Xerénte,FIREWOOD,m m ĩ,572
441,Xerénte,KILL.PL,p ɜ̃ r,828
442,Xerénte,KILL.PL,p ɜ,828
443,Xerénte,FOOT,p a r a,603
444,Xerénte,ROOT,w d ê p a,1256
445,Xerénte,GARDEN,b r u,623
446,Xerénte,LEAVE.PL,p u,851
447,Xerénte,LEAVE.PL,p u s,851
448,Xerénte,STALK,w a b u,1444
449,Xerénte,FINISH,p a r,564
450,Xerénte,FINISH,p a,564
451,Xerénte,TOUCH,k u p i,1599
452,Xerénte,WORK,n ĩ p i,1732
453,Xerénte,ANNATTO,b ɜ,52
454,Xerénte,EMBER,p r e,501
455,Panará,WANT,p j ɜ̃ n i,1662
456,Xavánte,HUNGER,m r ɜ̃ m,760
457,Xavánte,HUNGER,m r ɜ,760
458,Xerénte,HUNGER,m r ɜ̃ m,760
459,Xerénte,HUNGER,m r ɜ,760
460,Xerénte,PIUM,m r ɜ̃ m r ê,1138
461,Panará,ROAD,p j u,1249
462,Xavánte,WIFE,m r õ,1708
463,Xerénte,WIFE,m r õ,1708
464,Panará,TIE,t i n á p r é,1572
465,Xavánte,TIE,w a p r ê,1572
466,Xavánte,TALK,m r ẽ m ẽ,1518
467,Xavánte,TALK,m r ẽː m ẽ,1518
468,Xerénte,TALK,m r m ẽ,1518
469,Panará,LIVER,ĩ m p a,886
470,Xavánte,LIVER,p a,886
471,Xerénte,LIVER,p a,886
472,Xavánte,HEAR,w a p a,716
473,Xavánte,HEAR,w a p a r i,716
474,Xavánte,SHOW INTEREST,ĵ a p a ʔ a,1344
475,Panará,HEAR,ĩ m p a r i,716
476,Xerénte,HEAR,w a p a,716
477,Xerénte,HEAR,w a p a r i,716
478,Xerénte,WANT,z a p k a,1663
479,Xerénte,WANT,d a p a k a,1664
480,Panará,FEAR,s ũ m p a,550
481,Xavánte,FEAR,p i p a,550
482,Xerénte,FEAR,p i p a,550
483,Panará,BEARD,s a p ɜ̃ n s ê,149
484,Panará,BEARD,ç á m p a n c ê,149
485,Panará,MUSTACHE,ç a p a n c ê,992
486,Panará,DAT,m ɜ̃,412
487,Xavánte,DAT,m ɜ̃,412
488,Xerénte,DAT,m ɜ̃,412
489,Xavánte,EMA,m ɜ̃ j,499
490,Xavánte,EMA,m ɜ̃,499
491,Xerénte,EMA,m ɜ̃,499
492,Xavánte,CARE,ĵ a m ɜ,267
493,Xavánte,CARE,ĵ a m ɜ̃ r ĩ,267
494,Xerénte,CARE,z a m ɜ̃ r ĩ,267
495,Panará,LOAD.SG,nan,893
496,Xavánte,LOAD.DU,ʔ w a p e,892
497,Xavánte,LOAD.SG,ʔ w a p e j,894
498,Xavánte,LOAD.SG,ʔ w a p e,894
499,Xerénte,GRAB.SG,k w a p e,663
500,Panará,MAN,ĩ m p ɨ,925
501,Panará,TAIL,s ɜ̃ m p ɨ,1513
502,Xavánte,TAIL,m ɜ̃ n ɜ̃,1514
503,Xavánte,TAIL,b ɜ,1513
504,Xerénte,TAIL,m n ɜ̃,1514
505,Xerénte,TAIL,b ɜ,1513
506,Panará,TIME,ĩ m p ɨ t i,1575
507,Xavánte,SUN,b ɜ t ɜ,1491
508,Xavánte,SUN,b ɜː d ɜ,1491
509,Xerénte,SUN,b t ɜ,1491
510,Xerénte,SUN,b d ɜ,1491
511,Panará,DEER,ĩ m p o,421
512,Xavánte,DEER,p oː,421
513,Xerénte,DEER,p o,421
514,Panará,GO.PL,m õ r i,655
515,Xavánte,GO.PL,m õ,655
516,Xavánte,GO.PL,m õ r ĩ,655
517,Xerénte,GO.PL,m õ,655
518,Xerénte,GO.PL,m õ r,655
519,Xavánte,LAKE,p u ʔ u,840
520,Xavánte,LAKE,p u,840
521,Xerénte,LAKE,p k u,840
522,Panará,LOOK,s ɜ̃ m p ũ ŋ,901
523,Xavánte,LOOK,p i b u,902
524,Xavánte,LOOK,p i b u j,902
525,Xavánte,LOOK,p i b u,902
526,Xavánte,LOOK,ĵ a b u,901
527,Xavánte,LOOK,ĵ a b u j,901
528,Xavánte,LOOK,ĵ a b u,901
529,Xerénte,LOOK,p i b u,902
530,Xerénte,LOOK,z a b u,901
531,Panará,BACK OF THE HEAD,ĩ m p u t ĭ,101
532,Xavánte,NECK,b u t u,1005
533,Xavánte,NECK,b uː d u,1005
534,Xerénte,NECK,b d u,1005
535,Panará,TRUE,ĩ m p e,1610
536,Xavánte,HEAL,p ê c ê,714
537,Xavánte,HEAL,p ê,714
538,Xerénte,GOOD,p s ê,657
539,Xerénte,GOOD,p ê s,657
540,Xerénte,GOOD,p ê,657
542,Panará,DU,m ẽ,473
543,Xavánte,PL,m ẽ,1139
544,Xerénte,PL,m ẽ,1139
545,Panará,PITCH.SG,m ẽ ñ,1131
546,Panará,PITCH.SG,m ẽː r i,1131
